Name,Race,Property,Size,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Map1,Map2,Map3,Map4,Map5
Arclouse,Insect,Earth,Medium,Round Shell,Sticky Mucus,Solid Shell,Zargon,Red Gemstone,Great Nature,Zargon,Monster Card,gl_prison1,gl_dun01,,,
Armeyer Dinze,Demi-Human,Earth,Medium,Axe [4],Windhawk,Battle Axe [4],Buster [2],Mink Coat [1],Muffler [1],Handcuffs,Monster Card,lhz_dun01,lhz_dun02,,,
Argiope,Insect,Poison,Large,Short Leg,Zargon,Rough Elunium,Boots [1],Green Herb,Amethyst,Monster Card,,mjolnir_05,mjolnir_10,,,
Argos,Insect,Poison,Large,Cobweb,Scell,Short Leg,Rough Elunium,Green Herb,Yellow Herb,Bark Shorts,Monster Card,gef_dun01,gef_dun02,mjolnir_04,mjolnir_05,mjolnir_10
Assaulter,Demi-Human,Wind,Medium,Turtle Shell,Broken Armor Piece,Rust Suriken,Yellow Herb,Zargon,Huuma Bird Wing,Old Blue Box,Monster Card,cmd_fild02,cmd_fild02,cmd_fild04,cmd_fild07,cmd_fild07
Assassin Eremes,Demi-Human,Poison,Medium,Old Blue Box,Infiltrator,Chakram [2],Ninja Suit,Ninja Suit [1],Handcuffs,Research Chart,,teg_dun01,,,,
Aster,Fish,Earth,Small,Sticky Mucus,Coral Reef,Single Cell,Yellow Herb,Zargon,Apple,Monster Card,,cmd_fild02,cmd_fild02,cmd_fild04,cmd_fild07,cmd_fild07
Baphomet,Demon,Dark,Large,Crescent Scythe [1],Magestic Goat,Crescent Scythe,Emperium,Magestic Goat [1],Elunium,Oridecon,Monster Card,gl_cas02,prt_maze03,,,
Bard Kavach,Demi-Human,Wind,Medium,Old Blue Box,Harp [2],Electric Guitar,Tights,Tights [1],Handcuffs,Research Chart,,teg_dun02,,,,
Baroness of Retribution,Angel,Shadow,Medium,Ruby,Two-Handed Sword [2],Manteau [1],Ring [1],Red Feather,Cursed Seal,Stone of Sage,Monster Card,tha_t02,tha_t07,tha_t08,tha_t09,tha_t10
Bathory,Demi-Human,Dark,Medium,Venom Canine,Witched Starsand,Wizard Hat,Arc Wand [2],Star Crumb,Old Magicbook,Old Broom,Monster Card,c_tower1,gef_dun01,gef_dun02,glast_01,
Baby Leopard,Brute,Ghost,Small,Leopard Skin,Leopard Talon,Oridecon Stone,Meat,Dagger,Pet Food,Monster Card,,gon_dun01,gon_fild01,,,
Breeze,Formless,Wind,Medium,Dead Branch,Four Leaf Clover,Raccoon Leaf,Rough Wind,Gust Bow [1],Romantic Flower,Monster Card,Romantic Leaf,hu_fild01,hu_fild02,hu_fild04,hu_fild07,odin_tem01
Bigfoot,Brute,Earth,Large,Bear s Footskin,Poo Poo Hat,Animal Skin,Puppet,Potato,Honey,Rough Oridecon,Monster Card,prt_maze02,mjolnir_03,mjolnir_04,pay_fild07,pay_fild08
Black Mushroom,Plant,Earth,Small,Alcohol,Detrimindexta,Dew Laden Moss,Feather,Crystal Blue,Mushroom Spore,Mushroom Spore,Poison Spore,iz_dun01,iz_dun02,orcsdun01,orcsdun02,pay_dun00
Blacksmith Howard,Demi-Human,Water,Medium,Old Blue Box,Two-Handed Axe [2],Berdysz [2],Coat [1],Lord’s Clothes [1],Handcuffs,Research Chart,,teg_dun01,,,,
Blazzer,Demon,Fire,Medium,Burning Heart,Live Coal,White Herb,Monster Card,,,,,mag_dun01,mag_dun02,,,
Bloody Butterfly,Insect,Wind,Medium,Great Wing,Wing Of Butterfly,Powder Of Butterfly,Waghnak [4],Lariat Whip,Hard Feeler,Monster Card,,gon_dun01,gon_dun02,,,
Bloody Knight,Formless,Dark,Large,Brigan,Helm [1],Full Plate [1],Katzbalger,Pole Axe,Elunium,Monster Card,,gl_knt02,gefenia01,gefenia02,gefenia03,gefenia04
Bloody Murderer,Demi-Human,Shadow,Large,Oridecon,Kitchen Knife,Mr. Scream,Monster Card,Old Manteau,Rusty Kitchen Knife,Contorted Self-Portrait,,niflheim,nif_fild02,,,
Blue Plant,Plant,Earth,Small,Blue Herb,Flower,Shoot,Stem,Pointed Scale,Mastela Fruit,Grape,Romantic Leaf,gef_dun01,glast_01,pay_dun03,prt_maze01,prt_maze03
Bongun,Undead,Undead,Medium,Short Daenggie,Old Portrait,Worn Out Scroll,Bongun Hat,Amulet,Yellow Herb,Yellow Herb,Monster Card,pay_dun02,pay_dun03,,,
Brilight,Insect,Fire,Small,Glitter Shell,Wind Of Verdure,Zargon,Rough Elunium,Yggdrasil Leaf,White Herb,Monster Card,,alde_dun02,gl_prison,gl_prison1,gl_church,pay_fild11
Clock Tower Manager,Formless,Neutral,Large,Needle Of Alarm,Brigan,Steel,Hinalle Leaflet,Memorize Book,Key Of Clock Tower,Key of Underground,Monster Card,c_tower2,c_tower3,c_tower4,,
Caramel,Brute,Earth,Small,Porcupine Quill,Coat [1],Animal Skin,Glaive [3],Spear [4],Pike [4],Monster Card,,mjolnir_03,mjolnir_04,pay_fild07,,
Carat,Demon,Wind,Medium,Brigan,Ice Cream,Spiky Heel,Joker Jester,White Herb,Monster Card,,,gl_cas01,,,,
Cecil Damon,Demi-Human,Wind,Medium,Old Blue Box,Crossbow [3],Falken Blitz [2],Tights [1],Handcuffs,Oridecon Arrow Quiver,Immaterial Arrow Quiver,Monster Card,lhz_dun03,,,,
Chepet,Demi-Human,Fire,Medium,Matchstick,Zargon,Apple,Unripe Apple,Red Muffler,Yellow Herb,Ragamuffin Manteau,Monster Card,xmas_dun01,,,,
Chimera,Brute,Fire,Large,Brigan,Horrendous Hair,Lemon,War Axe [1],Citrine,Great Axe,Oridecon,Monster Card,beach_dun,,,,
Choco,Brute,Fire,Small,Claw Of Monkey,Yoyo Tail,Elunium,Banana,Tropical Banana,Banana Juice,Yggdrasil Berry,Monster Card,prt_fild03,,,,
Chonchon,Insect,Wind,Small,Iron,Shell,Jellopy,Cutter [4],Fly Wing,Chonchon Doll,Iron Ore,Monster Card,gef_fild00,gef_fild04,gef_fild05,gef_fild07,mjolnir_01
Clock,Formless,Earth,Medium,Needle Of Alarm,Trunk,White Herb,Lemon,Key Of Clock Tower,Key of Underground,Elunium,Monster Card,c_tower2,c_tower4,,,
Coco,Brute,Earth,Small,Acorn,Hood [1],Fluff,Animal Skin,Potato,Sandals,Strawberry,Monster Card,gef_fild02,gef_fild03,gef_fild11,mjolnir_06,mjolnir_07
Condor,Brute,Wind,Medium,Talon,Bow [4],Yellow Gemstone,Arrow,Meat,Feather Of Birds,Orange,Monster Card,cmd_fild09,moc_fild01,moc_fild02,moc_fild04,moc_fild05
Cookie,Demi-Human,Neutral,Small,Well Baked Cookie,Candy Cane,Chef King Orleans Vol.1,Sandals [1],Level 3 Heal,Candy,Monster Card,,xmas_dun01,xmas_dun02,,,
Constant,Formless,Shadow,Small,Rough Elunium,Steel,Flexible Tube,Solid Iron Piece,Burnt Part,,,,kh_dun01,kh_dun02,,,
Christmas Cookie,Demi-Human,Holy,Small,Well Baked Cookie,Pearl,Zargon,Hood [1],Gift Box,Level 3 Cold Bolt,Red Herb,Monster Card,xmas_dun01,xmas_dun02,,,
Cornutus,Fish,Water,Small,Crystal Blue,Conch,Scell,Rough Elunium,Shield [1],Solid Shell,Blue Gemstone,Monster Card,beach_dun3,iz_dun01,iz_dun02,cmd_fild02,
Crab,Fish,Water,Small,Crap Shell,Nipper,Stone,Venom Canine,Rough Elunium,Monster Card,,,cmd_fild02,cmd_fild04,cmd_fild07,,
Cramp,Brute,Poison,Small,Claw Of Rat,Monster s Feed,Sapphire,Glass Bead,Lemon,Blue Herb,Oridecon,Monster Card,alde_dun03,gl_prison1,gl_sew01,gl_sew02,gl_sew03
Creamy,Insect,Wind,Small,Powder Of Butterfly,Silk Robe [1],Honey,Butterfly Wing,Fancy Flower,Flower,Level 3 Lightening Bolt,Powder Of Butterfly,gef_fild06,gef_fild08,gef_fild13,mjolnir_01,mjolnir_02
Crusader Egnigem,Demi-Human,Fire,Medium,Old Blue Box,Flamberge,Holy Avenger,Full Plate,Full Plate [1],Research Chart,Handcuffs,,teg_dun02,,,,
Cruiser,Formless,Neutral,Medium,Manacles,Monk Hat,Iron,Rough Wind,Scell,Branch [3],Rough Oridecon,Monster Card,xmas_dun02,,,,
Dancer Josephina,Demi-Human,Wind,Medium,Old Blue Box,Tail Whip [2],Rapture Rose,Tights,Tights [1],Handcuffs,Research Chart,,teg_dun02,,,,
Dame of Sentinel,Angel,Neutral,Medium,Topaz,Hair Band,Ring [1],Golden Ornament,Blue Feather,Cursed Seal,Stone of Sage,Monster Card,tha_t04,tha_t07,tha_t08,tha_t09,tha_t10
Dark Frame,Demon,Dark,Medium,Brigan,Red Frame,Manteau,Star Crumb,Crystal Mirror,Monster Card,,,gl_cas01,gl_in01,,,
Dark lord,Demon,Undead,Large,Evil Bone Wand,Grimtooth,Mage Coat,Ancient Cape,Elunium,Bone Helm [1],Monster Card,Kronos,gl_chyard,,,,
Death Word,Formless,Neutral,Medium,Worn Out Page,Vidar’s Boots,Bookclip in Memory,Bloody Page,Kafra Legend Vol.1,Monster Card,,,tha_t02,tha_t03,tha_t04,tha_t05,tha_t06
Deleter,Dragon,Fire,Medium,Dragon s Skin,Dragon Canine,Dragon Train,Dragon Scale,Monster Card,,,,mag_dun02,,,,
Deleter,Dragon,Fire,Medium,Dragon s Skin,Dragon Canine,Dragon Train,Dragon Scale,Monster Card,,,,mag_dun02,,,,
Demon Pungus,Demon,Poison,small,Spawns,Mould Powder,Yellow Gemstone,Starsand Of Witch,Monster Card,,,,yuno_fild03,,,,
Deniro,Insect,Earth,Small,Worm Peeling,Garlet,Sticky Mucus,Red Blood,Venom Canine,Iron Ore,Rough Elunium,Monster Card,anthell01,anthell02,mjolnir_11,moc_fild11,moc_fild15
Desert Wolf,Brute,Fire,Medium,Katar [2],Claw Of Desert Wolf,Mink Coat [1],Rough Oridecon,Stiletto [3],Monster Card,,,moc_fild14,,,,
Desert Wolf Baby,Brute,Fire,Small,Phracon,Animal Skin,Adventurere s Suit [1],Cotton Shirt,Meat,Orange,Monster Card,,gef_fild05,moc_fild06,moc_fild08,moc_fild09,moc_fild14
Detarderous,Dragon,Shadow,Large,Pole Axe [1],Morpheus’s Ring,Morpheus’s Bracelet,Jewel Crown,Treasure Box,Fire Dragon Scale,Dragon Breath Cocktail,Monster Card,abyss_03,,,,
Deviace,Fish,Water,Medium,Mystic Frozen,Ancient Tooth,Ancient Lips,Aerial,Detrimindexta,Katar Of Cold Icicle,Rough Oridecon,Monster Card,iz_dun04,,,,
Deviling,Demon,shadow,Medium,Petite DiablOfs Wing,Zargon,Satanic Chain,Apple,Blade Lost In Darkness,Black Dyestuffs,Ghost Scroll 1 3,Monster Card,yuno_fild03,,,,
Deviruchi,Demon,Dark,Small,Little Evil Horn,Little Evil Wing,Oridecon,Partizan [2],Hand of God,Zargon,Rough Oridecon,Monster Card,c_tower2,gef_dun02,,,
Despero of Thanatos,Undead,Ghost,Large,Old Card Album,2carat Diamond,3carat Diamond,Goibne’s Greaves,Brigan,Fragment of Despair,Monster Card,,tha_t07,tha_t11,,,
Diabolic,Demon,Shadow,Small,Petite Diabl Ofs Horn,Petite Diabl Ofs Wing,Brooch,Oridecon,Unholy Touch,Monster Card,,,mag_dun02,,,,
Disguise,Demon,Earth,Medium,Honey,Hood [1],Muffler [1],Ragamuffin Manteau,Rider Insignia,Monster Card,Red Muffler,Tangled Chains,niflheim,nif_fild01,,,
Dolor of Thanatos,Undead,Ghost,Small,Old Card Album,2carat Diamond,3carat Diamond,Goibne’s Helm,Brigan,Fragment of Agony,Monster Card,,tha_t05,tha_t09,,,
Dokebi,Demon,Dark,Small,Dokebi Horn,Rough Elunium,Sword Mace,Mighty Staff,Gold,Club,Hammer Of Blacksmith,Monster Card,pay_dun04,pay_fild07,,,
Doppelganger,Demon,Dark,Medium,Full Plate [1],Broad Sword [2],Zweihander,Spiky Band,Lance,Elunium,Oridecon,Monster Card,gef_dun02,,,,
Dragon Fly,Insect,Wind,Small,Sweet Gents,Red Herb,Amethyst,Chonchon Doll,Clip [1],Rusty Iron,Grape Juice,Monster Card,moc_fild06,moc_fild18,,,
Dragon Tail,Insect,Wind,Medium,Dragon Fly Wing,Round Shell,Solid Shell,Fancy Flower,Cap,Wing Of Fly,Wing Of Butterfly,Monster Card,tur_dun01,,,,
Drainliar,Brute,Dark,Small,Emveretarcon,Tooth Of Bat,Sardonyx,Red Herb,Wing Of Red Bat,Wing Of Red Bat,Rough Oridecon,Monster Card,alde_dun01,alde_dun02,gl_sew01,in_sphinx1,in_sphinx2
Drake,Undead,Undead,Medium,Saber [3],Ring Pommel Saber [3],Cutlas,Haedonggum [2],Corsair,Elunium,Monster Card,Krasnaya [3],treasure02,,,,
Dragon Egg,Dragon,Neutral,Medium,Garnet,Aquamarine,Topaz,2carat Diamond,3carat Diamond,Elunium,Monster Card,Piece of Egg Shell,abyss_01,abyss_02,abyss_03,hu_fild05,
Driller,Brute,Earth,Medium,Yellow Gemstone,Red Gemstone,Monster Card,Lizard Scruff,,,,,yuno_fild02,,,,
Drops,Plant,Fire,Medium,Jellopy,Rod [4],Sticky Mucus,Apple,Empty Bottle,Apple,Orange Juice,Monster Card,xmas_dun01,cmd_fild06,cmd_fild07,cmd_fild08,cmd_fild09
Dryad,Plant,Earth,Medium,Rope [4],Chemeti Whip,Romantic Leaf,Monster Card,Sharp Leaf,Brown Root,Tough Vines,Huge Leaf,um_fild01,,,,
Dustiness,Insect,Wind,Small,Moth Dust,Moth Wings,Masquerade,Insect Feeler,Venom Canine,Red Herb,Monster Card,,gef_dun00,gef_dun01,mjolnir_02,mjolnir_03,pay_fild11
Dullahan,Undead,Undead,Medium,Helm of Dullahan,Armor Piece of Dullahan,Eye of Dullahan,Manteau,Manteau,Monster Card,,,niflheim,nif_fild01,nif_fild02,,
Eclipse,Brute,Neutral,Medium,Cute Ribbon,Red Herb,Opal,Four Leaf Clover,Rainbow Carrot,Angelic Protection [1],Monster Card,,prt_maze03,prt_fild02,,,
Eddga,Brute,Fire,Large,Fireblend,Pipe,Honey,Katar Of Raging Blaze,Tiger s Footskin,Elunium,Monster Card,Krierg [3],pay_fild10,,,,
Eggyra,Formless,Ghost,Medium,Scell,Egg Shell,Piece Of Egg Shell,Red Herb,Pet Incubator,Concentration Potion,Rough Elunium,Monster Card,pay_dun01,pay_fild07,pay_fild09,pay_fild10,
Egnigem Cenia,Demi-Human,Fire,Medium,Saber [3],Slayer [3],Two-Handed Sword [2],Katzbalger,Padded Armor [1],Full Plate [1],Research Chart,Monster Card,lhz_dun01,lhz_dun02,,,
Egnigem Cenia (MVP),Demi-Human,Fire,Medium,Old Blue Box,Gift Box,Nagan,Broad Sword [2],Schweizersabel,Formal Suit [1],Boots [1],Monster Card,lhz_dun02,,,,
Elder,Demi-Human,Neutral,Large,Worn-out Magic Scroll,Torn Scroll,Encyclopedia [2],Wizardy Staff,Old Card Album,Key of Underground,Monster Card,,c_tower4,c_tower4,,,
Elder Willow,Plant,Fire,Medium,Red Blood,Resin,Rough Elunium,Wooden Mail [1],Level 3 Fire Bolt,Dead Branch,Monster Card,,pay_fild08,pay_fild09,prt_fild10,prt_fild11,
Eremes Guile,Demon,Poison,Medium,Poison Bottle,Loki’s Nail,Specialty Jur [4],Krishna [2],Thief Clothes [1],Pauldron [1],Research Chart,Monster Card,lhz_dun02,lhz_dun03,,,
Errende Ebecee,Demi-Human,Holy,Medium,Morning Star [2],Sword Mace [1],Spike,Biretta [1],Scapulare [1],Saint’s Robe [1],Handcuffs,Monster Card,lhz_dun02,,,,
Evil Cloud Hermit,Formless,Neutral,Large,Cloud Piece,Cheese,Popped Rice,Bun,Elunium Stone,Lightening Bolt Scroll Level 5,Guitar [1],Monster Card,gon_dun02,gon_dun03,,,
Evil Druid,Undead,Undead,Large,Biretta [1],Evil Bone Wand,Ragamuffin Manteau,Bible [2],Yggdrasil Leaf,White Herb,Monster Card,,gl_church,gl_chyard,in_sphinx4,mjo_dun03,
Evil Snake Lord,Brute,Ghost,Large,Taegeuk Plate,Sword Of Grave Keeper,Hell Fire,Ph.D Hat,Gae Bolg,Pill,Sway Apron,Monster Card,gon_dun03,,,,
Executioner,Formless,Dark,Large,Bloody Edge,Phlogopite,Rapier [3],Scimiter [3],Ring Pommel Sabe [3],Steel,Oridecon,Monster Card,c_tower4,,,,
Explosion,Brute,Fire,Small,Wing Of Red Bat,Burning Heart,Hot Hair,Oridecon Stone,Fruit Of Mastela,Monster Card,,,mag_dun01,,,,
Fabre,Insect,Earth,Small,Fluff,Feather,Club [4],Emerald,Green Herb,Clover,Club [3],Monster Card,gef_fild00,gef_fild04,gef_fild05,gef_fild07,mjolnir_02
False Angel,Angel,Holy,Small,Yellow Gemstone,Red Gemstone,Blue Gemstone,Carrot Whip,Monster Card,Cursed Water,,,gefenia01,gefenia02,gefenia03,gefenia04,
Familiar,Brute,Dark,Small,Tooth Of Bat,Falchion [4],Ribbon [1],Fly Wing,Grape,Red Herb,Concentration Potion,Monster Card,anthell01,anthell02,gef_dun00,gef_dun01,mjo_dun01
Ferus Green,Dragon,Earth,Large,Fresh Fish,Great Nature,Dragon Canine,Dragon Scale,Green Bijou,Green Bijou,Monster Card,,abyss_01,abyss_03,,,
Ferus Red,Dragon,Fire,Large,Strawberry,Flame Heart,Dragon Canine,Dragon Scale,Magni’s Cap,Dragon Skin,Red Bijou,Monster Card,abyss_01,abyss_02,abyss_03,,
Flora,Plant,Earth,Large,Maneater Blossom,Sunflower,Aloe,Aloe Leaflet,Singing Flower,Stem,Witherless Rose,Monster Card,mjolnir_04,mjolnir_05,sec_in02,,
Freezer,Brute,Warter,Medium,Turtle Shell,Broken Shell,Ice Piece,Zargon,Royal Jelly,Cold Scroll 1-5,Monster Card,,tur_dun02,tur_dun03,tur_dun04,tur_dun05,
Frilldora,Brute,Fire,Medium,Frill,Rough Elunium,Reptile Tongue,Emerald,Yellow Gemstone,Red Herb,Zargon,Monster Card,cmd_fild05,moc_fild17,,,
Frus,Demon,Shadow,Medium,Red Gemstone,Rough Elunium,Mantle [1],Earring [1],Brigan,Rune of Darkness,Monster Card,,odin_tem01,odin_tem02,odin_tem03,,
Seal,Brute,Water,Medium,Zargon,Blue Herb,Coat [1],Cyfar,Guisarme [3],Panacea,Glass Bead,Monster Card,cmd_fild02,,,,
Galapago,Brute,Earth,Small,Cyfar,Yellow Herb,Aloevera,Melon,Galapago Cap,Orange,Monster Card,,cmd_fild02,,,,
Gargoyle,Demon,Wind,Medium,Zargon,Little Evil Wing,Bow Thimble,Mute Arrow,Rough Elunium,Monster Card,,,gl_sew02,gl_sew03,gl_dun02,cmd_fild09,
Garm,Brute,Water,Large,Fang of Hatii,Ice Falchon,Katar of Frozen Icicle,Hatii Claw [1],Elunium,Oridecon,Monster Card,,xmas_fild01,,,,
Garm Baby,Brute,Water,Medium,Nursing Bottle,Pinafore,Ice Cubic,Frozen Rose,Cold Scroll 2 5,Monster Card,,,xmas_dun02,xmas_fild01,,,
Geographer,Plant,Earth,Medium,Maneater Blossom,Root Of Maneater,Sunflower,Fancy Flower,Holy Scroll 1 5,Monster Card,,,yuno_fild03,,,,
Ghostring,Demon,Ghost,Medium,Fabric,Ghost Bandana,Thief Clothes [1],Dead Branch,Old Blue Box,Emperium,Level 5 Soul Strike,Monster Card,prt_maze03,treasure01,pay_fild04,,
Ghoul,Undead,Undead,Medium,Horrendous Mouth,Rough Oridecon,White Herb,Green Herb,Skul Ring,Memento,Sharpened Legbone of Ghoul,Monster Card,gl_church,gl_chyard,moc_pryd04,moc_pryd05,
Gibbet,Demon,Shadow,Large,Hung Doll,Decomposed Rope,Wooden Gnarl,Cursed Ruby,Red Gemstone,Dead Branch,Monster Card,,niflheim,nif_fild01,nif_fild02,,
Giearth,Demon,Earth,Small,Great Nature,Coal,Elder Pixie s Moustache,Elven Ears,Cap [1],Venom Canine,Monster Card,,anthell01,anthell02,mjo_dun02,mjo_dun03,
Gig,Brute,Fire,Small,Scropion s Nipper,Scorpion s Tail,Red Gemstone,Panacea,Flame Heart,Monster Card,,,mag_dun02,,,,
Goat,Brute,Fire,Medium,Goat s Horn,Gaoat s Skin,Empty Bottle,Red Herb,Blue Herb,Yellow_Herb,Green_Herb,Monster Card,yuno_fild03,,,,
Goblin,Demi-Human,Wind,Medium,Iron,Scell,Rough Oridecon,Goblin Mask,Dirk [3],Buckler [1],Red Herb,Monster Card,gef_fild02,gef_fild11,,,
Goblin,Demi-Human,Fire,Medium,Iron,Scell,Indian Fillet,Flail [3],Red Herb,Goblin Mask,Monster Card,,gef_fild02,gef_fild11,,,
Goblin,Demi-Human,Poison,Medium,Iron,Scell,Red Bandana,Surprised Mask,Buckler [1],Red Herb,Yellow Herb,Monster Card,gef_fild02,gef_fild11,,,
Goblin,Demi-Human,Earth,Medium,Green Live,Iron,Poker Face,Zorro Masque,Smasher [3],Red Herb,Monster Card,,gef_fild02,gef_fild11,,,
Goblin,Demi-Human,Water,Medium,Iron,Scell,Wand [3],Buckler [1],Annoyed Mask,Red Herb,Yellow Herb,Monster Card,gef_fild11,,,,
Goblin Archer,Demi-Human,Poison,Small,Goblin Mask,Iron,Scell,Oridecon Arrow,Red Herb,Composite Bow [4],Grape,Monster Card,cmd_fild08,,,,
Golden Bug,Insect,Fire,Large,Gold,Golden Mace [1],Golden Gear,Golden Bell,Emperium,Elunium,Oridecon,Monster Card,prt_sewb4,,,,
Golem,Formless,Neutral,Large,Steel,Stone Heart,Zargon,Rough Elunium,Yellow Gemstone,Iron,Monster Card,,moc_fild08,,,,
Grove,Brute,Earth,Medium,Green Herb,Green Herb,Hinalle Leaflet,Aloe Leaflet,Monster’s Feed,Aloevera,Monster Card,Reptile Tongue,hu_fild02,hu_fild03,hu_fild04,hu_fild05,hu_fild07
Grand Peco,Brute,Fire,Large,Mastela Fruit,Orange,Gold,Wind of Verdure,Monster Card,Peco Peco Feather,,,pay_dun03,pay_dun04,cmd_fild01,cmd_fild03,yuno_fild01
Greatest General,Formless,Fire,Medium,Brigan,Trunk,Club [3],Authoritative Badge,Stop Post,Yellow Herb,Level 3 Earth Spike,Monster Card,pay_dun03,pay_dun04,cmd_fild01,cmd_fild03,
Green Plant,Plant,Earth,Small,Green Herb,Poison Herb Makulata,Bitter Herb,Stem,Pointed Scale,Aloe,Aloe Leaflet,Romantic Leaf,gef_dun00,glast_01,pay_dun03,cmd_fild01,cmd_fild05
Green Maiden,Demi-Human,Wind,Medium,Honey,Puppet,Studded Knuckles [3],Bao Bao,Cyfar,Tantan Noodle,Monster Card,,lou_dun03,,,,
Gemini-S58,Formless,Water,Medium,Condensed Yellow Potion,Condensed White Potion,Old Blue Box,Skull,Stone of Sage,Monster Card,/td>,,lhz_dun01,lhz_dun02,,,
Grizzly,Brute,Fire,Large,Bear s Foot,Animal s Skin,Nice Sweet Potato,Monster Card,,,,,mag_dun01,,,,
Gryphon,Brute,Wind,Large,Talon Of Griffin,Brigan,Soft Feather,Guisarme [3],Pole Axe [1],Oridecon,Rough Wind,Monster Card,cmd_fild08,,,,
